Oracle Provisioning Test Cases - Domo,,,,,,,,
#,TestCase,Description,Pre-requisites,Steps Involved,Expected Scenario,Arrived Scenario,Status,Remarks
1,Basic - Create User,Create user with all the required attributes along with optional attributes (on a need basis),User (to provision in Domo) has to be present in the IDCS ,Go To Oracle IDCS Admin Console -> Applications -> Select the Domo Application -> Click on Users Tab  -> Click Assign -> Assign user ->  Click Save -> Ok,"User assignment should succeed, user account should be created in the Domo",User has been assigned successfully in IDCS and account was created in Domo,Pass,
2,Basic - Deactivate User,Deactivate the user at Domo from IDCS ,NA,NA,NA,NA,        NA,User deactivation is not supported by Domo
3,Basic - Activate user,Activate the user at Domo from IDCS ,NA,NA,NA,NA,        NA,User activation is not supported by Domo
4,Basic - Reset User Password,Reset Domo user password from Postman Client using IDCS AccountPasswordResetter API,NA,NA,NA,NA,        NA,User password reset is not supported by Domo
5,Basic - Bulk Import of users,Reconcilliation - Importing all the users from Domo into IDCS,User(s) need to be present in the Domo,Go To Oracle IDCS Admin Console -> Applications -> Select  the Domo Application -> Go to Import Tab -> Click on Import button,All the user(s) from the Domo should  be imported to IDCS Admin Console,User(s) import is successful,Pass,"Additionally ""Domo Support"" User will be imported  from Domo."
6,Basic - Delete User (Revoke User Access),Revoke Domo access from the existing User (who has access to Domo application already),IDCS user (who is already provisioned to  Domo) should be available in IDCS,Go To Oracle IDCS Admin Console -> Applications -> Select the Domo Application -> Click on Users Tab  -> Select user (to de-provision) -> Click Revoke ->Ok,Domo access should be revoked successfully for the user selected. Also user should be deleted at the Domo,User has been removed from Domo application access at IDCS and user account deleted from Domo,Pass,
7,Bulk Import (Target User Linking with IDCS),To check if the user available in the Domo is linked to the IDCS User during the Bulk Import operation,User with same email should be present in IDCS & Domo,Go To Oracle IDCS Admin Console -> Applications -> Select the Domo Application -> Go to Import Tab -> Click on Import button -> Confirm User linking,Confirmed user should be assigned to the Domo Application at IDCS ,User assigned to Domo application at IDCS successfully,Pass,
8,Bulk Import (Target User Creating & Linking with IDCS),To check if the user available in the Domo is created & linked at IDCS  during Bulk Import,User should be present in the Domo,Go To Oracle IDCS Admin Console -> Applications -> Select  Domo Application -> Go to Import Tab -> Click on Import button -> Select the User -> Actions -> Click on Create New User and Link -> Provide the User Details (To Create) -> OK,User (Based on the details provided) should be created in IDCS and assigned to the Domo Application,User created and assigned with Domo application at IDCS,Pass,
9,Bulk Import (Target User Assigning & Linking with IDCS User  with Different email),To check if the user imported from Domo is not linked with any user in IDCS (due to email mismatch) and can be assigned to any existing user at IDCS,User should be present in the Domo & IDCS (email should not match between IDCS & Domo),Go To Oracle IDCS Admin Console -> Applications -> Select the Domo Application -> Go to Import Tab -> Click on Import button -> Select a User -> Actions -> Click on Assign Existing User -> Select the IDCS User to assign the Domo User -> OK,Domo User should be linked to the assigned IDCS user during the Import process,Assigned IDCS User was linked with Domo User,Pass,
10,Create User - With Same Email already existing in Domo,To check if we can provision a user in Domo considering a user with same email already existing in the Domo (user should be created directly at the Domo),User with the same email should be present in Domo,Go To Oracle IDCS Admin Console -> Applications -> Select the Domo Application -> Click on Users tab  -> Click Assign -> Assign user ->  Click Save -> Ok,Account creation should fail,Account creation failed,Pass,
